UID        PID  PPID  C STIME TTY          TIME CMD
root      2825     2  0 Jun20 ?        00:00:00 [jfsCommit]
root      2826     2  0 Jun20 ?        00:00:00 [jfsCommit]
root      2827     2  0 Jun20 ?        00:00:00 [jfsCommit]
root      2828     2  0 Jun20 ?        00:00:00 [jfsCommit]
root      2829     2  0 Jun20 ?        00:00:00 [jfsCommit]
root      2830     2  0 Jun20 ?        00:00:00 [jfsCommit]
root      2831     2  0 Jun20 ?        00:00:00 [jfsCommit]
root      2832     2  0 Jun20 ?        00:00:00 [jfsCommit]
root      2833     2  0 Jun20 ?        00:00:00 [jfsCommit]
root      2834     2  0 Jun20 ?        00:00:00 [jfsCommit]
root      2835     2  0 Jun20 ?        00:00:00 [jfsCommit]
root      2836     2  0 Jun20 ?        00:00:00 [jfsSync]
root      2961  1109  0 13:32 ?        00:00:00 sshd: nmounmanivon [priv]
root      3054  1109  0 14:31 ?        00:00:00 sshd: gcaragchiu [priv]
Debian-+  3172     1  0 Jun06 ?        00:00:16 /usr/sbin/exim4 -bd -q30m
ntp       3205     1  0 Jun06 ?        00:03:28 /usr/sbin/ntpd -p /var/run/ntpd.pid -g -u 114:120
gcaragc+  3302     1  0 14:31 ?        00:00:00 /lib/systemd/systemd --user
gcaragc+  3303  3302  0 14:31 ?        00:00:00 (sd-pam)
root      3313     2  0 14:31 ?        00:00:00 [kworker/15:0-cgroup_destroy]
gcaragc+  3318  3054  0 14:31 ?        00:00:00 sshd: gcaragchiu@pts/14
gcaragc+  3319  3318  0 14:31 pts/14   00:00:00 -bash
root      4003  1109  0 Jul12 ?        00:00:00 sshd: melissa [priv]
melissa   4012  4003  0 Jul12 ?        00:00:13 sshd: melissa@pts/1
melissa   4013  4012  0 Jul12 pts/1    00:00:00 -bash
melissa   4066  4013  0 Jul12 pts/1    00:00:06 screen
melissa   4067  4066  0 Jul12 ?        00:00:08 SCREEN
melissa   4068  4067  0 Jul12 pts/4    00:00:00 -/bin/bash
nmounma+  4187  2961  0 13:33 ?        00:00:01 sshd: nmounmanivon@notty
nmounma+  4188  4187  0 13:33 ?        00:00:00 bash
nmounma+  4261  2362  0 13:33 ?        00:00:04 /home/stu/nmounmanivon/.vscode-server/bin/3866c3553be8b268c8a7f8c0482c0c0177aa8bfa/node /home/stu/nmounmanivon/.vscode-server/bin/3866c3553be8b268c8a7f8c0482c0c0177aa8bfa/out/bootstrap-fork --type=extensionHost --uriTransformerPath=/home/stu/nmounmanivon/.vscode-server/bin/3866c3553be8b268c8a7f8c0482c0c0177aa8bfa/out/vs/server/uriTransformer.js
nmounma+  4417  2424  0 13:33 pts/23   00:00:00 /bin/bash
root      4573     2  0 14:32 ?        00:00:00 [kworker/9:0-mm_percpu_wq]
root      4700     2  0 13:53 ?        00:00:00 [kworker/0:0-events]
root      5901  1109  0 11:03 ?        00:00:00 sshd: dmacias [priv]
dmacias   6158     1  0 11:04 ?        00:00:01 /lib/systemd/systemd --user
dmacias   6159  6158  0 11:04 ?        00:00:00 (sd-pam)
www-data  6174 29983  0 14:33 ?        00:00:00 /usr/sbin/apache2 -k start
dmacias   6175  5901  0 11:04 ?        00:00:00 sshd: dmacias@pts/29
dmacias   6176  6175  0 11:04 pts/29   00:00:00 -bash
root      6499     2  0 13:54 ?        00:00:00 [kworker/13:1-mm_percpu_wq]
mysql     6623     1  0 Jun20 ?        09:44:48 /usr/sbin/mysqld
root      6791     2  0 13:54 ?        00:00:00 [kworker/10:0-events]
root      7036  1109  0 14:33 ?        00:00:00 sshd: emorris [priv]
dmacias   7220  6176  0 13:54 pts/29   00:00:00 vi 3120
emorris   7265     1  0 14:34 ?        00:00:00 /lib/systemd/systemd --user
emorris   7266  7265  0 14:34 ?        00:00:00 (sd-pam)
root      7305     2  0 14:34 ?        00:00:00 [kworker/19:0-cgroup_destroy]
emorris   7310  7036  0 14:34 ?        00:00:00 sshd: emorris@pts/17
emorris   7311  7310  0 14:34 pts/17   00:00:00 -bash
julloa    7436     1  0 13:54 ?        00:00:00 /lib/systemd/systemd --user
julloa    7437  7436  0 13:54 ?        00:00:00 (sd-pam)
root      7707  1109  0 Aug24 ?        00:00:00 sshd: kwesbrook [priv]
